NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
Lincoln Middle School,Riverside Industrial Park,0.8027035906074854,7032,NJ,KEARNY,34017
Martin Luther King Jr Elementary,FMC Corp. (Yakima),0.8032519954370759,98903,WA,Yakima,53077
Rocketship Alma Academy,Lorentz Barrel & Drum Co.,0.8033346662199781,95110,CA,San Jose,6085
Collierville Virtual Academy,"Walker Machine Products, Inc.",0.8033868733274278,38017,TN,Collierville,47157
Grant Elementary,Wausau Ground Water Contamination,0.8039909455267352,54401,WI,Wausau,55073
BEL AIRE ELEMENTARY SCHOOL,"Chemfax, Inc.",0.8045003735394849,39503,MS,Gulfport,28047
Lincoln School,Jacobsville Neighborhood Soil Contamination,0.8045873323074803,47713,IN,Evansville,18163
PS 94 DAVID D PORTER,Stanton Cleaners Area Ground Water Contamination,0.8054579502515343,11363,NY,LITTLE NECK,36081
COLLEGE PARK MIDDLE,Chevron Chemical Co. (Ortho Division),0.8056580957860419,32804,FL,ORLANDO,12095
Lehua Elementary School,Pearl Harbor Naval Complex,0.8064329720676169,96782,HI,Pearl City,15003
Aspire Firestone Academy Charter,Southern Avenue Industrial Area,0.8070154452472755,90280,CA,South Gate,6037
Aspire Gateway Academy Charter,Southern Avenue Industrial Area,0.8070154452472755,90280,CA,South Gate,6037
BEL AIR ELEMENTARY,MacGillis & Gibbs/Bell Lumber & Pole Co.,0.8070708200904206,55112,MN,NEW BRIGHTON,27123
Rousseau McClellan School 91,Keystone Corridor Ground Water Contamination,0.8073470968930253,46205,IN,Indianapolis,18097
KIPP PRIME COLLEGE PREPARATORY,Geneva Industries/Fuhrmann Energy,0.807685596186,77017,TX,HOUSTON,48201
KIPP CLIMB ACADEMY,Geneva Industries/Fuhrmann Energy,0.807685596186,77017,TX,HOUSTON,48201
Washington Elementary,Fairfield Coal Gasification Plant,0.8077139265601303,52556,IA,Fairfield,19101
Edmunds Elementary School,Pine Street Canal,0.80773244381474,5401,VT,Burlington,50007
Elkhart High School,Himco Dump,0.8080211497519422,46514,IN,Elkhart,18039
COHEN ELEMENTARY SCHOOL,"Facet Enterprises, Inc.",0.8080252299852297,14903,NY,ELMIRA HEIGHTS,36015
Edison Middle School,Orange Valley Regional Ground Water Contamination,0.808153091307433,7052,NJ,W ORANGE,34013
Theuerkauf Elementary,"CTS Printex, Inc.",0.8084413979126461,94043,CA,Mountain View,6085
Monta Loma Elementary,"CTS Printex, Inc.",0.8094696939119111,94043,CA,Mountain View,6085
KIPP Sunshine Peak Academy,Denver Radium Site,0.8096382645683108,80223,CO,DENVER,8031
Lakewood Elementary,"Advanced Micro Devices, Inc. (Building 915)",0.8096562906901161,94089,CA,Sunnyvale,6085
NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,Cabot/Koppers,0.8096943289001667,32601,FL,GAINESVILLE,12001
ROSABELLE W. BLAKE ACADEMY,Landia Chemical Company,0.8097236099337402,33815,FL,LAKELAND,12105
Ridgeline High School,Greenacres Landfill,0.8107246657694471,99019,WA,Liberty Lake,53063
Christopher Columbus School No. 15,Chemical Control,0.8110467080974528,7202,NJ,ELIZABETH,34039
Hastings Middle,Atlas Tack Corp.,0.8116212931582868,2719,MA,Fairhaven,25005
Campus Community School,Dover Gas Light Co.,0.8121898978580121,19904,DE,Dover,10001
GLOBAL LEARNING ACADEMY,American Creosote Works (Pensacola Plant),0.8127159857614489,32505,FL,PENSACOLA,12033
Roosevelt School,Garfield Ground Water Contamination,0.8129455321492178,7644,NJ,LODI,34003
VALLEY VIEW ELEMENTARY,McGaffey and Main Groundwater Plume,0.8146534738404949,88203,NM,ROSWELL,35005
WASHINGTON ELEMENTARY MAGNET SCHOOL,"Trans Circuits, Inc.",0.8147597021410858,33404,FL,RIVIERA BEACH,12099
SOLVAY ELEMENTARY SCHOOL,Onondaga Lake,0.8153012676146898,13209,NY,SOLVAY,36067
Cookson Elementary School,East Troy Contaminated Aquifer,0.8159849855311131,45373,OH,Troy,39109
